qbr_id,customer_id,qbr_date,executive_sponsor_present,success_plan_updated,next_steps_recorded,qbr_quality_score
qbr_cus_001,cus_001,2026-05-20,True,True,True,55
qbr_cus_002,cus_002,2026-05-20,True,True,True,55
qbr_cus_003,cus_003,2026-01-15,True,False,False,55
qbr_cus_004,cus_004,2026-05-20,True,True,True,55
qbr_cus_005,cus_005,2026-01-15,True,False,False,55
qbr_cus_006,cus_006,2026-05-20,True,True,True,55
qbr_cus_007,cus_007,2026-05-20,True,True,True,55
qbr_cus_008,cus_008,2026-01-15,True,False,False,55
qbr_cus_009,cus_009,2026-05-20,True,True,True,55
qbr_cus_010,cus_010,2026-05-20,True,True,True,55
qbr_cus_011,cus_011,2026-01-15,True,False,False,55
qbr_cus_012,cus_012,2026-05-20,True,True,True,55
qbr_cus_013,cus_013,2026-05-20,True,True,True,55
qbr_cus_014,cus_014,2026-01-15,True,False,False,55
qbr_cus_015,cus_015,2026-05-20,True,True,True,55
qbr_cus_016,cus_016,2026-05-20,True,True,True,55
qbr_cus_017,cus_017,2026-05-20,True,True,True,55
qbr_cus_018,cus_018,2026-01-15,True,False,False,55
qbr_cus_019,cus_019,2026-05-20,True,True,True,55
qbr_cus_020,cus_020,2026-05-20,True,True,True,55
qbr_cus_021,cus_021,2026-05-20,True,True,True,55
qbr_cus_022,cus_022,2026-05-20,True,True,True,55
qbr_cus_023,cus_023,2026-05-20,True,True,True,55
qbr_cus_024,cus_024,2026-05-20,True,True,True,55
qbr_cus_025,cus_025,2026-05-20,True,True,True,55
qbr_cus_026,cus_026,2026-05-20,True,True,True,55
qbr_cus_028,cus_028,2026-05-20,True,True,True,55
qbr_cus_029,cus_029,2026-05-20,True,True,True,55
qbr_cus_031,cus_031,2026-05-20,True,True,True,55
qbr_cus_032,cus_032,2026-05-20,True,True,True,55
qbr_cus_034,cus_034,2026-05-20,True,True,True,55
qbr_cus_035,cus_035,2026-05-20,True,True,True,55
